"route","ssnt","ssme","ssnti","ssmei"
"840_02_008",-1591.80382550997,-723.913243024091,-5377.40822831949,-5384.10911370963
"840_02_010",-1118.64949172201,-664.537653128761,-3643.59522341708,-3634.81101854829
"840_02_012",-969.236095571202,-615.031562201177,-3215.84367229111,-3209.36265508088
"840_02_014",-1853.50443097742,-796.304777803987,-5918.42948680644,-5923.25223152315
"840_02_016",-795.665312996267,-570.063533655433,-2808.79181145194,-2806.42112856016
"840_02_017",-900.088695027616,-592.237859486596,-3084.09085926531,-3085.18526122669
"840_02_019",-886.771964949056,-581.930699000324,-3538.52073105009,-3538.92938803147
"840_02_020",-616.460422939491,-486.663388168946,-1917.66617749711,-1919.21615163247
"840_02_021",-476.004960284185,-359.812634068246,-1586.24868474803,-1588.39803134258
"840_02_022",-713.889910415218,-492.628993295876,-2317.28496628664,-2323.11263780667
"840_02_023",-688.16337639161,-435.814936201088,-1697.07047239465,-1698.59974943022
"840_02_024",-1721.77728945719,-856.387888319097,-5764.35455610752,-5774.5440797323
"840_02_025",-1308.30540955138,-772.676890751708,-4472.07759083129,-4467.8408127441
"840_02_027",-1617.80396947551,-804.486666913341,-5786.25090156217,-5785.1035353427
"840_02_028",-1994.17044710324,-853.570528753014,-6775.89231445065,-6767.88876187941
"840_02_029",-1544.34746422503,-824.905504425006,-5738.55006936947,-5737.8694155287
"840_02_031",-945.306481388875,-568.314607821325,-4551.88855769167,-4555.20541833275
"840_02_034",-967.559734604859,-564.525651616468,-3870.82682440523,-3877.36733544916
"840_02_035",-760.262653273763,-565.427856014744,-2565.63196223099,-2574.50937410724
"840_02_036",-469.14446003728,-333.807673938297,-1269.78397180969,-1265.9778133893
"840_02_038",-997.251070410863,-641.068383768278,-2936.96592841262,-2940.3498485684
"840_02_039",-818.164059754489,-513.27968671497,-2694.8577609926,-2692.99410103642
"840_02_043",-813.424505024222,-555.904277529144,-2318.76505348044,-2315.69918978259
"840_02_045",-1059.43217960785,-680.716747200231,-3217.29641794475,-3216.21934277838
"840_02_046",-1785.50668544247,-774.866655674198,-5055.47557797891,-5048.47584584062
"840_02_047",-866.266233710394,-628.934452028505,-2352.75402333917,-2358.79396610108
"840_02_048",-1052.36371422772,-561.870922709446,-3486.65799310004,-3489.92865912782
